UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q9CZP0	0.242	0.378	0.11	0.3045
E9QKG3	-0.204	-0.238	-0.22	-0.2505
A2AHG2	-0.34	-0.22	-0.15	-0.0175
Q3UXZ9	0.098	0.028	0.161	0.1015
Q9QUM5	0.974	1.421	0.71	1.1755
G3X9I7	1.013	1.039	0.73	0.7685
A2ASJ3	-0.249	-0.251	-0.366	-0.3995
Q9EPF5	0.195	-0.344	0.648	0.1255
Q8BQZ5	-0.114	-0.041	-0.088	-0.0035
P55144-2	0.258	0.287	0.205	0.2455
Q6RT24	-0.585	-0.458	-0.482	-0.3435
A6H603	0.631	0.58	0.558	0.5175
Q6ZQK0	0.057	0.211	0.008	0.1725
Q9CPW7	-0.61	-0.277	-0.712	-0.3675
Q8R4Y8	-0.448	-0.721	-0.468	-0.7705
Q3TNH5	0.172	-0.055	0.189	-0.0265
Q80VM9-3	-0.308	-0.149	-0.233	-0.0625
E9Q368	0.358	0.548	0.35	0.5525
Q8BN51	-0.028	-0.095	0.001	-0.0295
O35134	1.066	1.141	0.815	0.9015
P60330	0.969	0.94	0.577	0.5895
Q9JI81	-0.672	-0.421	-0.564	-0.3015
Q91VU7	0.155	0.068	0.12	0.0555
P29351-2	-0.756	-0.324	-0.663	-0.2195
Q3TQB2-2	-0.086	0.036	-0.012	0.1205
P82343	0.169	0.24	-0.147	-0.0115
Q7M6Y5	0.127	0.217	0.062	0.1645
Q9Z207	-0.307	-0.1	-0.287	-0.1255
Q8K182	-0.092	0.022	-0.116	0.0125
D3Z7A8	0.838	0.81	0.756	0.7405
Q8BWU8	0.76	1.044	0.731	1.0265
Q99N50-2	1.03	0.539	0.995	0.7315
Q64691	-0.777	-0.767	-0.828	-0.8075
Q9CWD8	0.375	0.247	0.044	-0.0725
Q9ES52-4	-0.337	-0.292	-0.175	-0.1175
P53798	-0.404	-0.21	-0.244	-0.0375
E9PVV8	0.68	0.76	0.525	0.6155
B2RT41	0.187	0.251	0.246	0.3155
Q8CA03	-0.465	-0.39	-0.401	-0.3135
P0C673	-0.019	-0.344	0.605	0.2595
E9Q1U1-2	-0.023	-0.095	-0.136	-0.1955
Q3U827	-0.164	-0.248	-0.076	-0.2245
E9PUL7	-0.294	-0.224	-0.297	-0.1595
E9QLE4	0.971	0.964	0.74	0.7455
A2AFI8	-0.36	-0.248	-0.383	-0.2595
E9Q5M6	-0.771	-0.477	-0.688	-0.3545
Q5F2B4	-0.334	-0.269	-0.263	-0.1875
Q8BTG3	0.193	0.389	-0.009	0.1985
Q9D245	0.102	0.276	0.02	0.2055
Q9CZN4	1.395	1.636	1.095	1.3475
G3X8Q1	0.862	1.253	0.615	0.9795
Q8K0L3-2	1.339	1.128	1.225	1.0245
A0A087WP01	-0.77	-0.488	-0.612	-0.3185
Q9CPN9	0.071	-0.147	-0.224	-0.4305
P48754	0.003	0.204	0.021	0.2335
F6RXI4	0.437	0.516	0.442	0.5335
